STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,GEO_PICT,Pacific Island Countries and territories,ENERGY_SOURCE,Energy source,GRID_CONN,Grid connection status,TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of measure,ERROR_TYPE,Error type,ERROR_VAL,Error value,REPORTING_TYPE,Reporting Type,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,NC,New Caledonia,HYDRO,Renewable Hydropower,ON,On-grid,2007,,390.1,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,NC,New Caledonia,HYDRO,Renewable Hydropower,ON,On-grid,2008,,460.1,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,NC,New Caledonia,HYDRO,Renewable Hydropower,ON,On-grid,2009,,398.4,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,NC,New Caledonia,HYDRO,Renewable Hydropower,ON,On-grid,2010,,264.7,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,NC,New Caledonia,HYDRO,Renewable Hydropower,ON,On-grid,2011,,375.7,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,NC,New Caledonia,HYDRO,Renewable Hydropower,ON,On-grid,2012,,397.9,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,NC,New Caledonia,HYDRO,Renewable Hydropower,ON,On-grid,2013,,456.3,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,NC,New Caledonia,HYDRO,Renewable Hydropower,ON,On-grid,2014,,289.2,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,NC,New Caledonia,HYDRO,Renewable Hydropower,ON,On-grid,2015,,340.4,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,NC,New Caledonia,HYDRO,Renewable Hydropower,ON,On-grid,2016,,231.8,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,NC,New Caledonia,HYDRO,Renewable Hydropower,ON,On-grid,2017,,361,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,NC,New Caledonia,HYDRO,Renewable Hydropower,ON,On-grid,2018,,317.2,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,NC,New Caledonia,HYDRO,Renewable Hydropower,ON,On-grid,2019,,284.8,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,NC,New Caledonia,HYDRO,Renewable Hydropower,ON,On-grid,2020,,305,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,NC,New Caledonia,HYDRO,Renewable Hydropower,ON,On-grid,2021,,424.9,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,NC,New Caledonia,HYDRO,Renewable Hydropower,ON,On-grid,2022,,538.6,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,NC,New Caledonia,HYDRO,Renewable Hydropower,ON,On-grid,2023,,421,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,TK,Tokelau,RENTOT,Renewable (total),ON,On-grid,2012,,0.5,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,TK,Tokelau,RENTOT,Renewable (total),ON,On-grid,2013,,1.1,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,TK,Tokelau,RENTOT,Renewable (total),ON,On-grid,2014,,1.1,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,TK,Tokelau,RENTOT,Renewable (total),ON,On-grid,2015,,1.5,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,TK,Tokelau,RENTOT,Renewable (total),ON,On-grid,2016,,1.6,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,TK,Tokelau,RENTOT,Renewable (total),ON,On-grid,2017,,1.6,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,TK,Tokelau,RENTOT,Renewable (total),ON,On-grid,2018,,1.6,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,TK,Tokelau,RENTOT,Renewable (total),ON,On-grid,2019,,1.7,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,TK,Tokelau,RENTOT,Renewable (total),ON,On-grid,2020,,1.7,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,TK,Tokelau,RENTOT,Renewable (total),ON,On-grid,2021,,1.7,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,TK,Tokelau,RENTOT,Renewable (total),ON,On-grid,2022,,1.7,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,TK,Tokelau,RENTOT,Renewable (total),ON,On-grid,2023,,1.7,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,WS,Samoa,BIOSLD,Solid Biofuels,ON,On-grid,2000,,4.4,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,WS,Samoa,BIOSLD,Solid Biofuels,ON,On-grid,2001,,4.4,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,WS,Samoa,BIOSLD,Solid Biofuels,ON,On-grid,2002,,4.4,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,WS,Samoa,BIOSLD,Solid Biofuels,ON,On-grid,2003,,4.4,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,WS,Samoa,BIOSLD,Solid Biofuels,ON,On-grid,2004,,4.4,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,WS,Samoa,BIOSLD,Solid Biofuels,ON,On-grid,2005,,4.4,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,WS,Samoa,BIOSLD,Solid Biofuels,ON,On-grid,2020,,0.1,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,WS,Samoa,BIOSLD,Solid Biofuels,ON,On-grid,2021,,5,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,WS,Samoa,BIOSLD,Solid Biofuels,ON,On-grid,2022,,5,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,WS,Samoa,BIOSLD,Solid Biofuels,ON,On-grid,2023,,0,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,WS,Samoa,RENTOT,Renewable (total),_T,Total,2000,,47.6,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,WS,Samoa,RENTOT,Renewable (total),_T,Total,2001,,52.1,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,WS,Samoa,RENTOT,Renewable (total),_T,Total,2002,,52.8,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,WS,Samoa,RENTOT,Renewable (total),_T,Total,2003,,51.1,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,WS,Samoa,RENTOT,Renewable (total),_T,Total,2004,,54.9,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,WS,Samoa,RENTOT,Renewable (total),_T,Total,2005,,56.7,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,WS,Samoa,RENTOT,Renewable (total),_T,Total,2006,,50.5,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,WS,Samoa,RENTOT,Renewable (total),_T,Total,2007,,51.9,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,WS,Samoa,RENTOT,Renewable (total),_T,Total,2008,,45,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,WS,Samoa,RENTOT,Renewable (total),_T,Total,2009,,44.2,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,WS,Samoa,RENTOT,Renewable (total),_T,Total,2010,,40.5,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,WS,Samoa,RENTOT,Renewable (total),_T,Total,2011,,31,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,WS,Samoa,RENTOT,Renewable (total),_T,Total,2012,,35,,,,GWH,Gigawatt-hour,,,,,N,National,,
