STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,TIME_PERIOD,Time,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,VU-1,Torba,2016,2016,5,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,PF-2,Îles du Vent,2017,2017,57284,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TO-5,Vava'u,2016,2016,2715,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TV-1,Nanumea,2017,2017,105,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,NC-2,Northern Province,2019,2019,49910,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,NC-3,Southern Province,2019,2019,203144,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TO-1,Ha'apai,2016,2016,6125,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TV,Tuvalu,2017,2017,1626,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,PF-1,Îles Australes,2017,2017,3.6,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TO-4,Tongatapu,2016,2016,5.8,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,VU-2,Sanma,2016,2016,4.9,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,VU-3,Penama,2016,2016,4.5,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,VU-4,Malampa,2016,2016,4.5,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,PF,French Polynesia,2017,2017,3.6,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,PF-1,Îles Australes,2017,2017,1920,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,VU-3,Penama,2016,2016,6959,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,VU-4,Malampa,2016,2016,8896,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,FJ-3,Northern,2017,2017,131914,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,FJ-5,Western,2017,2017,337041,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,WF-6,Hihifo,2018,2018,1942,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,WF-7,Mua,2018,2018,2976,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TO,Tonga,2016,2016,100651,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TO-5,Vava'u,2016,2016,5.1,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,WS-3,Rest of Upolu,2016,2016,3.6,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,WS-4,Savaii,2016,2016,3.2,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TV-7,Funafuti,2017,2017,849,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,VU-1,Torba,2016,2016,1960,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TK-1,Anafu,2016,2016,519,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TV-8,Nukulaelae,2017,2017,260,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,WS-2,North West Upolu,2016,2016,69376,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TK,Tokelau,2016,2016,256,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,FJ-2,Eastern,2017,2017,4.6,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TK-1,Anafu,2016,2016,5.9,,N,units,,,,,,,,
